"NUMER STACJI","DOSTĘPNE ROWERY",WSPÓŁRZĘDNE,"LICZBA STOJAKÓW","NUMERY DOSTĘPNYCH ROWERÓW"
11201,0,"54.379898451667, 18.602555798333",5,
11202,0,"54.366936938333, 18.54911118",5,
11203,0,"54.376672628333, 18.611270863333",5,
11204,0,"54.378506158333, 18.586930893333",5,
11205,0,"54.379066428333, 18.595220065",5,
11206,1,"54.37564604, 18.521664096667",11,98528
11207,0,"54.37969819614, 18.607261776924",5,
11208,2,"54.37852149, 18.600603306667",5,"98250,600092"
11209,1,"54.381044155, 18.605302458333",9,98384
11213,1,"54.380267348333, 18.483169713333",9,98162
11214,0,"54.428970738333, 18.478479035",5,
11215,0,"54.425441976667, 18.472786438333",9,
11216,0,"54.42434205, 18.46409131",5,98158
11217,0,"54.37187638, 18.524306788333",5,
11218,1,"54.376823771667, 18.507686535",9,98841
11219,0,"54.341604338333, 18.601724295",5,
11220,1,"54.344753753333, 18.58984894",5,98281
11221,0,"54.355664796667, 18.588039583333",5,
11222,2,"54.420798268333, 18.478760338333",5,"98500,98227"
11223,2,"54.362230001667, 18.605423828333",5,"98042,98038"
11224,0,"54.360461205, 18.58991114",5,
11225,0,"54.361783621667, 18.59381419",9,
11226,0,"54.338949253333, 18.587736975",5,
11227,0,"54.33620447, 18.598723325",9,
11228,0,"54.432290913333, 18.471329561667",5,
11229,0,"54.421280998333, 18.452205466667",0,
11230,0,"54.419110368333, 18.581578608333",9,
11231,0,"54.411231275, 18.581700475",5,
11232,1,"54.412765541667, 18.581129431667",5,99220
11233,2,"54.406318678333, 18.579610745",4,"98537,99207"
11234,0,"54.419875575, 18.581763533333",9,
11235,0,"54.412069303333, 18.576910561667",5,
11236,0,"54.416539526667, 18.572446441667",5,
11237,0,"54.408193575, 18.563189776667",5,
11238,0,"54.349161, 18.624967",5,
11239,0,"54.35148628, 18.591802718333",0,
11240,0,"54.348709391667, 18.618102211667",5,
11241,0,"54.34599877, 18.598044141667",5,
11242,2,"54.350594721667, 18.631694956667",5,"98944,600203"
11243,0,"54.351535343333, 18.636851796667",5,
11244,0,"54.342008326667, 18.578821355",5,
11245,0,"54.327153026667, 18.610811463333",5,
11246,0,"54.324743995, 18.61813576",9,
11247,0,"54.321376796667, 18.599049231667",5,
11248,0,"54.332221958333, 18.634798465",5,
11249,0,"54.324205308333, 18.61005606",9,
11250,0,"54.305041545, 18.582095451667",5,
11251,0,"54.350563305, 18.55936986",9,
11252,0,"54.338867358333, 18.564653195",5,
11253,1,"54.31628835, 18.603760753333",9,99059
11254,0,"54.404283361667, 18.576268933333",5,
11255,2,"54.355756656667, 18.492792211667",5,"98351,600254"
11256,3,"54.317452505, 18.582513028333",9,"98302,98014,98974"
11257,1,"54.349227436667, 18.590238763333",9,99194
11258,0,"54.355862283333, 18.510763626667",5,
11259,0,"54.320207133333, 18.576474853333",5,
